index,lng_bor,area,hor_overl,vrt_overl,clr_score,cluster_clr_score
ISIC_0000044,54579,856619,13941,27369,2,2.450825
ISIC_0000045,42570,539761,5230,6840,2,2.468298
ISIC_0000046,56952,636665,19097,21472,2,2.410705
ISIC_0000047,37179,413564,11924,18363,3,2.442407
ISIC_0000048,27603,211160,9780,4197,3,2.512415
ISIC_0000049,49356,1103051,44115,48468,2,2.458507
ISIC_0000050,38598,476014,14435,14663,2,2.428656
ISIC_0000051,50754,477503,22702,24575,2,2.406713
ISIC_0000052,59508,1037273,9118,13127,3,2.417941
ISIC_0000053,71415,857007,22060,29770,2,2.521987
ISIC_0000054,38538,351933,8803,10655,2,2.187249
ISIC_0000055,51900,705251,16703,14699,2,2.439541
ISIC_0000056,57234,668844,22660,19732,2,2.194890
ISIC_0000057,31698,327933,5611,9436,2,2.387594
ISIC_0000059,45231,721972,51588,26978,2,2.463092
ISIC_0000061,47859,533796,13885,14658,2,2.410248
ISIC_0000062,24825,134771,3563,5055,3,2.425741
ISIC_0000063,570,723773,34006,33988,2,2.548146
ISIC_0000064,44883,565551,19435,9562,2,2.510131
ISIC_0000065,42516,429593,8064,6583,2,2.419469
ISIC_0000066,35304,346268,11830,12124,3,2.512449
ISIC_0000067,24915,187130,7904,4642,2,2.460353
ISIC_0000068,28284,248175,4570,6731,2,2.276013
ISIC_0000069,18354,99391,3198,3189,1,2.154442
ISIC_0000071,13989,68629,1773,2558,1,2.405709
ISIC_0000072,17025,94237,4339,2525,2,2.474853
ISIC_0000073,29169,264986,5244,4663,1,2.377503
ISIC_0000074,36576,287956,22330,19842,3,2.467293
ISIC_0000075,38202,479276,9152,11132,2,2.408244
ISIC_0000077,41982,700727,17709,21787,2,2.397365
ISIC_0000078,26256,186437,3669,10418,2,2.437902
ISIC_0000079,23262,97413,6641,6492,3,2.436130
ISIC_0000080,59832,925139,14706,9801,3,2.275670
ISIC_0000081,45921,350822,20462,18812,1,2.286264
ISIC_0000082,56106,806603,11706,50007,2,2.245369
ISIC_0000085,46899,395933,9771,14582,2,2.220831
ISIC_0000086,71778,1173808,17645,29798,2,2.084318
ISIC_0000087,70788,1205888,16018,18706,2,2.120939
ISIC_0000088,64065,679949,13229,32410,3,2.458370
ISIC_0000089,42675,380020,20092,20299,3,2.451615
ISIC_0000091,33225,431272,166,8964,1,2.319745
ISIC_0000092,28752,271443,4627,2835,2,2.294975
ISIC_0000093,31791,339918,4875,5082,2,2.103204
ISIC_0000094,22734,185952,4001,6360,2,1.982714
ISIC_0000095,25617,242991,7640,7004,2,2.231969
ISIC_0000096,48540,862524,26782,20819,2,2.393047
ISIC_0000097,67965,754836,24368,19884,2,2.413693
ISIC_0000098,15507,68879,917,1025,2,2.482836
ISIC_0000099,59697,1250319,23797,53100,2,2.430412
ISIC_0000100,62646,1488872,56913,31247,2,2.538241
ISIC_0000101,73413,1498637,26551,34005,2,2.424227
ISIC_0000102,15258,87454,1513,2157,2,2.197070
ISIC_0000103,57978,1234899,46165,20277,2,2.260922
ISIC_0000104,43671,743155,13697,17307,1,2.402323
ISIC_0000105,43173,351595,14586,12525,3,2.243999
ISIC_0000107,56874,605299,24864,35476,2,2.240417
ISIC_0000108,48201,579498,8791,9376,2,2.261353
ISIC_0000109,89625,1101116,76225,117805,2,2.371659
ISIC_0000110,30357,329543,1339,1557,2,2.124219
ISIC_0000111,73227,1891084,23140,33746,3,2.519091
ISIC_0000112,40386,634225,13338,41561,2,2.113791
ISIC_0000113,51630,1070595,7862,23104,2,2.286334
ISIC_0000116,59622,1132111,105656,145735,2,2.145147
ISIC_0000118,26715,257542,3966,9191,2,2.176957
ISIC_0000119,51831,523729,14472,10102,2,2.457865
ISIC_0000120,72324,1316168,30642,32454,2,2.378403
ISIC_0000121,47352,864992,7429,16114,1,2.047937
ISIC_0000122,57648,1224661,34250,17517,2,2.134749
ISIC_0000123,41157,585041,8128,11083,2,2.400457
ISIC_0000124,65472,742415,20658,17122,2,2.384545
ISIC_0000125,9582,32182,435,717,2,2.361777
ISIC_0000126,48198,840213,19346,37229,2,2.232922
ISIC_0000127,61635,1345932,23587,29816,2,2.465055
ISIC_0000128,40041,470813,7181,16363,2,2.150757
ISIC_0000129,32388,288456,5564,7057,3,2.499213
ISIC_0000130,46977,710765,26913,42904,3,2.521775
ISIC_0000131,49347,812344,4608,6304,2,2.308226
ISIC_0000132,684,107001,5187,6470,2,2.186725
ISIC_0000133,32865,444061,8157,11298,2,2.128910
ISIC_0000134,28650,280597,4855,8149,3,2.334833
ISIC_0000135,38109,386455,11061,10694,3,2.377103
ISIC_0000136,68013,1611820,37062,76459,4,2.507880
ISIC_0000137,54639,767596,59391,31298,2,2.085991
ISIC_0000138,35778,495185,12321,19935,3,2.500152
ISIC_0000139,63735,1587368,47280,26129,2,2.434299
ISIC_0000140,73083,2062737,59839,89073,3,2.465455
ISIC_0000141,42285,538133,24691,20659,3,2.476291
ISIC_0000142,51234,1135787,11825,32498,3,2.503544
ISIC_0000143,61935,1397314,30719,16839,2,2.259817
ISIC_0000145,54426,949531,34564,37112,2,2.079523
ISIC_0000146,53451,1160761,17414,40705,3,2.405167
ISIC_0000147,60000,1532820,20775,23239,2,2.476377
ISIC_0000148,51378,874072,43814,25469,3,2.480014
ISIC_0000149,62211,1618835,28713,27048,2,2.423123
ISIC_0000150,59301,1012636,36678,128365,2,2.225997
ISIC_0000151,31179,310087,9028,29437,3,2.256628
ISIC_0000152,67839,1131161,24292,18889,3,2.195933
ISIC_0000153,78051,1394304,48258,51345,2,2.050573
ISIC_0000154,34530,307082,6384,11758,2,2.054701
ISIC_0000155,63153,1511589,37155,19609,3,2.519301
ISIC_0000156,56007,983759,33991,25285,2,2.241852
ISIC_0000157,23925,200118,4693,5966,2,2.433161
ISIC_0000159,26850,264810,2490,12843,3,2.517618
ISIC_0000160,27771,270236,6701,8042,2,2.206302
ISIC_0000161,31821,315621,8448,17147,3,2.485831
ISIC_0000162,26808,253599,10094,9188,2,2.407659
ISIC_0000163,23766,183045,8888,5099,3,2.459051
ISIC_0000164,21108,136164,6234,16835,2,2.416220
ISIC_0000165,17226,68162,4542,3395,3,2.472448
ISIC_0000166,25935,189639,4423,8471,2,2.477031
ISIC_0000167,22737,159403,8047,8458,2,2.425636
ISIC_0000169,19539,108730,4314,10144,2,2.405506
ISIC_0000171,30522,283212,22543,11040,2,2.439476
ISIC_0000172,30609,225914,9055,5844,2,2.429573
ISIC_0000174,22194,156263,23111,8189,2,2.439714
ISIC_0000176,26424,176366,5592,5622,2,2.410378
ISIC_0000177,15438,90784,1203,1749,2,2.362844
ISIC_0000179,62364,632325,19718,17910,2,2.474744
ISIC_0000181,29157,337580,926,9898,2,2.377115
ISIC_0000182,31620,418866,3594,3745,2,2.058440
ISIC_0000184,28692,304652,6143,11354,2,2.380265
ISIC_0000185,24114,201480,4971,3009,2,2.303450
ISIC_0000186,14148,77555,133,838,2,2.428555
ISIC_0000188,45009,863904,19552,28905,2,2.032338
ISIC_0000189,39648,640569,10748,26992,3,2.379821
ISIC_0000190,25737,230217,5649,7145,2,2.434292
ISIC_0000191,23634,204689,2761,5479,2,2.418232
ISIC_0000192,48708,829498,25886,7610,2,2.416903
ISIC_0000193,25758,226619,6589,6938,2,2.367293
ISIC_0000196,48705,487356,17213,19133,2,2.309135
ISIC_0000197,48195,447929,9494,13546,2,2.259863
ISIC_0000198,14382,75125,1061,2296,1,2.298736
ISIC_0000199,19113,114922,1131,1724,3,2.445942
ISIC_0000201,17994,121492,2245,3417,3,2.528736
ISIC_0000202,54396,1266292,11262,16801,2,2.418162
ISIC_0000203,57186,1460794,16629,21945,2,2.184040
ISIC_0000204,42981,742205,26949,16303,2,2.534050
ISIC_0000205,52563,1047698,7740,22894,3,2.440832
ISIC_0000206,37323,262509,18497,19401,2,2.282293
ISIC_0000207,41466,631373,5910,22933,2,2.358046
ISIC_0000208,55569,1135642,25326,50441,2,2.162410
ISIC_0000209,24981,231197,3530,8980,2,2.375727
ISIC_0000211,15138,90580,584,810,3,2.434161
ISIC_0000212,26493,266942,4080,5251,2,2.433197
ISIC_0000213,22698,145680,3405,4504,2,2.412335
ISIC_0000214,24405,151254,9560,15441,3,2.464108
ISIC_0000215,34479,473258,8835,9508,3,2.420074
ISIC_0000216,29493,267607,2290,4364,2,2.388542
ISIC_0000217,31563,354925,7052,7291,2,2.150245
ISIC_0000218,31101,355347,5597,12336,2,2.442106
ISIC_0000219,27612,240067,3647,13599,2,2.431722
ISIC_0000220,15774,81417,2032,3550,3,2.430280
ISIC_0000221,16050,100706,634,2818,2,2.498390
ISIC_0000222,33210,321457,7948,7203,2,2.382514
ISIC_0000223,39312,318830,11074,10832,2,2.079360
ISIC_0000224,30645,368128,12161,11308,2,2.408576
ISIC_0000225,14895,67043,1463,2026,2,2.427703
ISIC_0000226,28104,305445,6614,4744,2,2.314788
ISIC_0000227,18126,111382,914,1492,3,2.451715
ISIC_0000229,30795,261698,10416,39396,2,2.511318
ISIC_0000231,27351,215323,925,3191,2,2.239888
ISIC_0000232,18339,108620,1297,2207,3,2.392875
ISIC_0000233,37338,461586,4682,5675,3,2.365635
ISIC_0000234,25377,275828,1855,3407,2,2.407286
ISIC_0000235,23013,247471,4901,5705,2,2.402353
ISIC_0000236,36888,380892,5382,14370,2,2.460597
ISIC_0000237,28350,288751,8292,11381,2,2.501500
ISIC_0000239,29565,322690,3881,10038,2,2.530957
ISIC_0000240,19341,134381,2550,4219,2,2.245155
ISIC_0000242,35925,278455,6551,12493,2,2.437901
ISIC_0000243,25836,190798,3934,2434,2,2.481633
ISIC_0000244,32025,221599,4518,8157,2,2.409592
ISIC_0000245,31809,389783,2439,11052,3,2.446918
ISIC_0000246,41982,378391,14466,7185,2,2.512402
ISIC_0000247,15102,92173,1259,1315,2,2.443974
ISIC_0000250,26034,244182,5034,4837,2,2.049298
ISIC_0000251,14751,83158,897,1593,3,2.501089
ISIC_0000252,18684,89914,2887,2968,2,2.308341
ISIC_0000253,11439,41845,1204,1620,1,2.266108
ISIC_0000254,19377,149315,2297,3114,2,2.297617
ISIC_0000255,23355,153628,2296,3554,2,2.200195
ISIC_0000256,13530,55366,812,2573,2,2.490481
ISIC_0000258,32928,415583,19364,21526,2,2.420979
ISIC_0000259,35502,659404,20124,21853,1,2.414958
ISIC_0000260,21354,125961,4821,2013,2,2.060762
ISIC_0000261,13500,64529,597,1784,1,2.190700
ISIC_0000262,10278,27457,2154,1168,1,2.326639
ISIC_0000263,23169,168850,4855,12235,2,2.342810
ISIC_0000264,33609,376526,11192,6227,2,2.213157
ISIC_0000265,23694,194813,13546,11160,3,2.479224
ISIC_0000268,34326,435084,4451,4035,2,2.089263
ISIC_0000269,15918,84209,814,1773,2,2.418485
ISIC_0000274,24732,239496,1767,3414,3,2.512306
ISIC_0000275,13989,68644,134,1272,2,2.419032
ISIC_0000276,33792,329442,7827,10042,3,2.485687
ISIC_0000277,30315,355658,4867,5851,2,2.467224
ISIC_0000278,32376,426867,6267,11949,1,2.009003
ISIC_0000281,24405,217073,3547,5110,3,2.439171
ISIC_0000282,30666,332973,23073,23695,2,2.455616
ISIC_0000283,21648,109615,5195,3186,3,2.485262
ISIC_0000285,38142,470061,9988,26932,2,2.103477
ISIC_0000288,41637,615068,20330,16191,3,2.435666
ISIC_0000289,39117,581958,16898,25568,2,2.249860
ISIC_0000290,27912,244364,3787,7165,3,2.463182
ISIC_0000292,38079,503123,15457,14561,2,2.104109
ISIC_0000293,38112,593655,18243,39189,2,2.377991
ISIC_0000294,40347,569805,13565,15632,2,2.084455
ISIC_0000295,28566,299030,10866,9192,2,2.409838
ISIC_0000297,11169,49830,462,644,3,2.223818
ISIC_0000298,12291,46631,421,1514,2,2.439491
ISIC_0000299,26814,308475,13185,10454,3,2.439516
ISIC_0000300,22590,197256,10085,13516,2,2.194157
ISIC_0000301,25218,337526,19287,19878,2,2.402953
ISIC_0000302,28722,275258,10226,10776,2,2.444986
ISIC_0000303,28893,385018,9489,11436,2,2.436638
ISIC_0000306,13971,58372,2467,2408,2,2.093186
ISIC_0000307,25740,292733,18328,19391,2,2.425622
ISIC_0000310,23946,311232,10284,10452,2,2.431728
ISIC_0000311,29760,328792,4904,8981,2,2.071328
ISIC_0000313,16005,99308,1011,1989,2,2.077955
ISIC_0000314,20424,142308,1319,5803,2,2.451533
ISIC_0000315,14418,72559,815,1959,2,2.146943
ISIC_0000316,20994,175423,768,2243,2,2.213640
ISIC_0000317,6276,14946,111,363,2,2.140273
ISIC_0000319,14097,68343,1498,6961,2,2.193675
ISIC_0000320,20061,158138,1673,2404,2,2.150178
ISIC_0000321,21675,192009,2826,2808,2,2.043581
ISIC_0000322,20037,129088,3263,3019,2,2.136002
ISIC_0000323,10173,37041,1062,842,1,2.422058
ISIC_0000324,20502,155245,1957,3310,2,2.111374
ISIC_0000325,18516,123560,3313,3662,2,2.169205
ISIC_0000326,14328,66916,3602,2587,2,2.087576
ISIC_0000327,13767,70630,1608,2015,2,2.141345
ISIC_0000328,22092,184944,10955,6295,1,2.204369
ISIC_0000329,13287,65622,640,888,2,2.108229
ISIC_0000330,14487,76736,763,1210,3,2.199187
ISIC_0000331,18081,129585,664,2748,2,2.051667
ISIC_0000332,13422,59578,575,1065,2,2.407458
ISIC_0000336,12804,59623,1842,2251,2,2.146796
ISIC_0000338,14343,64205,1275,2376,2,2.204254
ISIC_0000340,13257,67372,1630,1656,2,2.149236
ISIC_0000341,17151,101396,2652,3685,2,2.079577
ISIC_0000342,14229,73728,2349,2699,2,2.150084
ISIC_0000343,22716,141444,5226,6573,2,2.085753
ISIC_0000344,24636,172374,9516,6572,2,2.082867
ISIC_0000345,7152,21709,67,260,2,2.101687
ISIC_0000346,16848,102127,4205,2869,2,2.197454
ISIC_0000347,9702,31060,123,544,1,2.196873
ISIC_0000348,16824,91508,4450,7080,3,2.476408
ISIC_0000349,13560,53836,1644,3168,2,2.234862
ISIC_0000350,16515,83041,1114,2255,2,2.207022
ISIC_0000351,13266,55850,522,991,2,2.223020
ISIC_0000352,11055,47403,1344,752,2,2.116431
ISIC_0000353,17286,104490,1418,4100,2,2.143552
ISIC_0000354,26085,182587,3476,5206,2,2.031529
ISIC_0000355,21495,171251,1073,6170,1,2.428842
ISIC_0000357,10485,38656,596,1253,2,2.227133
ISIC_0000358,13848,76330,1265,1670,1,2.385447
ISIC_0000359,28023,298081,8519,7163,2,2.433679
ISIC_0000360,9744,35502,331,559,2,2.027497
ISIC_0000361,20178,148300,2302,4202,2,2.207537
ISIC_0000363,17034,99262,3193,1968,2,2.264855
ISIC_0000364,25056,205642,6431,8437,2,2.409904
ISIC_0000365,12900,62527,789,1522,2,2.117419
ISIC_0000366,10293,27902,467,1311,2,2.107311
ISIC_0000367,20208,158523,2454,1922,2,2.468960
ISIC_0000368,25338,263095,6958,5740,2,2.427626
ISIC_0000369,24561,156032,4792,5721,2,2.047740
ISIC_0000370,20490,165427,4801,6545,2,2.210805
ISIC_0000371,23193,210094,11489,4431,2,2.470070
ISIC_0000372,17871,123278,2832,4258,2,2.172095
ISIC_0000374,14541,61927,3163,2272,2,2.383626
ISIC_0000376,58689,1312181,49859,30640,2,2.359509
ISIC_0000377,82587,1232778,67937,54084,2,2.288680
ISIC_0000378,90933,1534990,73273,89315,2,2.425067
ISIC_0000379,94656,2758753,67943,187669,2,2.443677
ISIC_0000380,74772,1715702,59802,51281,2,2.462668
ISIC_0000381,67797,1357171,108450,67559,2,2.470109
ISIC_0000382,63480,1292594,68830,109185,1,2.410224
ISIC_0000383,74922,1182194,52040,36632,2,2.197906
ISIC_0000384,37359,351506,7722,25434,2,2.454747
ISIC_0000385,77175,1234501,45205,36388,2,2.391660
ISIC_0000386,78927,1130822,31262,30058,2,2.227321
ISIC_0000387,54906,717304,20223,18949,2,2.451556
ISIC_0000388,42648,718655,7045,7410,1,2.414597
ISIC_0000390,94683,3037484,198622,85291,3,2.547615
ISIC_0000391,81309,2688395,35101,60550,1,2.393126
ISIC_0000392,72624,1963254,47289,56859,2,2.458079
ISIC_0000393,105537,3806067,146908,247730,2,2.414740
ISIC_0000395,85749,2948643,40694,51985,2,2.428293
ISIC_0000396,66432,1670883,42638,55444,2,2.454069
ISIC_0000397,73011,1576194,177469,195548,2,2.250637
ISIC_0000403,64899,906479,34240,43710,2,2.431205
ISIC_0000407,86952,2246787,69448,73418,3,2.425368
ISIC_0000408,115959,4752002,89710,87267,2,2.435505
ISIC_0000409,39891,437286,15394,13339,2,2.242096
ISIC_0000410,90450,780182,120623,85585,2,2.450151
ISIC_0000412,106287,2149160,139866,166707,1,2.413267
ISIC_0000413,113121,3310815,191080,119819,1,2.430890
ISIC_0000415,286038,3474147,344292,550025,1,2.190437
ISIC_0000416,80970,923145,105861,89067,2,2.424671
ISIC_0000418,75975,1548119,77518,78087,2,2.425291
ISIC_0000419,104427,2311500,95013,124865,2,2.164168
ISIC_0000420,75978,1601768,54027,76043,2,2.193320
ISIC_0000421,98904,1238593,58216,57807,2,2.187801
ISIC_0000423,94392,2266852,49096,36672,2,2.374349
ISIC_0000425,90807,3002300,88342,53392,1,2.364221
ISIC_0000426,107811,3815069,262310,239938,2,2.329363
ISIC_0000427,95430,1936893,215662,80058,2,2.455695
ISIC_0000431,49563,784714,65585,36923,2,2.311769
ISIC_0000433,104028,3908000,158812,120249,2,2.442312
ISIC_0000434,80763,2035021,105676,86095,2,2.423990
ISIC_0000436,94617,3583724,19465,55620,2,2.444278
ISIC_0000439,37707,542145,22553,10323,2,2.335720
ISIC_0000442,63045,1396387,45321,43198,2,2.418789
ISIC_0000443,42777,732337,15652,12824,1,2.420337
ISIC_0000444,77631,715932,47974,76479,2,2.271098
ISIC_0000445,49896,889135,30530,50207,2,2.180059
ISIC_0000447,34065,301919,13771,11608,1,2.363045
ISIC_0000448,63156,1371031,25800,64918,2,2.395122
ISIC_0000449,29331,243086,13482,4991,2,2.261167
ISIC_0000451,53667,1146194,48591,38698,2,2.236975
ISIC_0000453,112116,1612000,46699,105683,2,2.070110
ISIC_0000455,72480,1158064,24050,54592,2,2.131635
ISIC_0000456,1128,1825270,55251,92354,2,2.378475
ISIC_0000457,31503,270363,9331,5082,2,2.135859
ISIC_0000458,22422,182061,4758,8221,2,2.184938
ISIC_0000460,21987,126732,1966,2397,2,2.178768
ISIC_0000461,32484,236206,8758,10292,2,2.171577
ISIC_0000463,66201,1744664,36881,47773,2,2.455165
ISIC_0000465,19674,112097,2384,2828,2,2.310767
ISIC_0000466,32277,230284,7048,11353,2,2.176894
ISIC_0000467,42822,484027,40789,57022,2,2.316658
ISIC_0000468,48150,456872,14763,11591,1,2.064795
ISIC_0000469,34884,186503,11829,6777,2,2.140304
ISIC_0000470,22464,124653,6067,7317,2,2.221541
ISIC_0000471,19389,105116,4077,3124,3,2.441628
ISIC_0000473,54033,1034742,44460,40768,2,2.409059
ISIC_0000474,42495,351478,7546,20256,2,2.232963
ISIC_0000475,30114,303915,7187,7598,4,2.465573
ISIC_0000476,39999,316255,19684,20354,2,2.275279
ISIC_0000478,41376,485462,13503,16591,2,2.401483
ISIC_0000479,53814,354596,26481,20028,2,2.127341
ISIC_0000480,25392,136092,8179,7533,2,2.219640
ISIC_0000481,37272,490683,34104,39517,2,2.426665
ISIC_0000482,24657,173228,4733,2440,3,2.475994
ISIC_0000483,27969,227896,4471,6897,2,2.232828
ISIC_0000484,45372,314218,18455,25494,2,2.183220
ISIC_0000485,65667,433323,35908,56299,2,2.418479
ISIC_0000486,20961,131740,3497,3824,2,2.454188
ISIC_0000487,41460,178303,9450,12799,1,2.283307
ISIC_0000488,21249,118830,1947,4138,2,2.130391
ISIC_0000489,34005,200046,20508,10260,2,2.437131
ISIC_0000490,24864,217378,7040,6264,1,2.432313
ISIC_0000491,37539,377011,14615,5419,2,2.282577
ISIC_0000492,22752,111336,3058,4157,1,2.177303
ISIC_0000493,32793,329123,22767,13929,2,2.221455
ISIC_0000494,16488,99490,2888,3439,2,2.167637
ISIC_0000495,21243,151125,6923,5784,2,2.341972
ISIC_0000496,24642,178129,3045,3037,2,2.236870
ISIC_0000498,25062,214202,5154,7287,2,2.463646
ISIC_0000499,19113,98200,5604,2407,2,2.444880
ISIC_0000500,21399,154647,2252,2765,2,2.193024
ISIC_0000501,20838,128033,3391,4971,1,2.355332
ISIC_0000503,25659,170176,8438,5766,2,2.257225
ISIC_0000504,55575,1267195,28955,64395,2,2.058370
ISIC_0000505,23760,107679,10079,9318,2,2.251385
ISIC_0000506,13695,74349,321,928,2,2.472299
ISIC_0000507,24210,183421,1108,3790,2,2.197984
ISIC_0000508,23712,136195,5340,5218,2,2.193033
ISIC_0000509,28395,216179,5194,3838,2,2.275759
ISIC_0000510,26733,180557,10828,12935,2,2.138764
ISIC_0000511,44964,367030,19591,20304,2,2.334208
ISIC_0000513,23601,192578,6168,8565,2,2.189279
ISIC_0000514,18969,92793,3456,4459,2,2.129781
ISIC_0000515,28491,331378,2890,5925,2,2.458765
ISIC_0000516,30519,272495,8653,10876,2,2.124135
ISIC_0000517,35970,494130,63521,24824,2,2.210154
ISIC_0000518,20967,122448,5567,7238,3,2.346908
ISIC_0000519,100011,3370302,97112,118447,2,2.429940
ISIC_0000520,53232,1100859,58435,39651,2,2.380774
ISIC_0000521,106656,3784061,63200,45464,2,2.426363
ISIC_0000522,43125,192897,18512,32082,2,2.311241
ISIC_0000523,21012,156034,251,1812,2,2.114802
ISIC_0000524,30948,225375,6057,9384,2,2.426242
ISIC_0000525,30171,259090,6056,6018,2,2.136948
ISIC_0000527,23970,170492,7443,6665,2,2.187452
ISIC_0000528,20394,93517,3846,2608,2,2.173856
ISIC_0000529,38394,300899,12635,10945,2,2.174500
ISIC_0000530,21888,169932,2904,3793,2,2.171888
ISIC_0000531,24408,133042,3842,8941,2,2.206325
ISIC_0000532,24780,152339,4551,5985,2,2.466983
ISIC_0000533,33135,232933,9947,8860,2,2.191671
ISIC_0000534,28584,252337,4818,13247,2,2.325228
ISIC_0000535,21543,121629,8694,3644,2,2.169823
ISIC_0000536,10530,32903,3578,1382,2,2.221704
ISIC_0000538,17865,98711,2084,2427,3,2.486421
ISIC_0000539,34458,320420,6327,6769,2,2.199701
ISIC_0000540,36021,297572,12397,12749,2,2.113613
ISIC_0000541,25770,183533,4392,5553,2,2.252964
ISIC_0000542,33192,246242,10768,10206,2,2.098460
ISIC_0000543,22746,163847,1654,3886,2,2.367613
ISIC_0000544,22884,146843,3401,2776,3,2.433420
ISIC_0000545,24933,231977,1723,7268,2,2.419712
ISIC_0000546,26460,193255,8527,5520,2,2.250545
ISIC_0000547,46209,209214,15284,30290,1,2.262761
ISIC_0000548,25935,125289,9107,5415,2,2.129374
ISIC_0000549,46062,203341,13224,18897,2,2.371895
ISIC_0000550,31992,216643,5444,5594,2,2.342052
ISIC_0000551,39327,253027,20987,9281,1,2.249878
ISIC_0000552,27579,208001,5707,7458,2,2.331899
ISIC_0000554,396,197145,21298,18760,1,2.318431
ISIC_0000555,22671,106559,3562,4283,1,2.223119
ISIC_0000556,37431,296106,8523,9402,2,2.099339
ISIC_0000882,38277,561225,5169,8086,2,2.040694
ISIC_0000900,32202,414310,3722,5815,1,2.254797
ISIC_0000999,38436,287678,34849,7538,2,2.109373
ISIC_0001100,57120,1030645,51674,59343,3,2.526022
ISIC_0001102,126984,3171249,200002,114504,2,2.438823
ISIC_0001103,85161,2574025,86789,121235,3,2.532896
ISIC_0001105,49350,1015447,17572,18472,2,2.197290
ISIC_0001118,134406,5982569,122625,107040,2,2.482112
ISIC_0001119,34866,388091,13006,16081,2,2.460340
ISIC_0001126,72270,1447811,57231,57873,2,1.995524
ISIC_0001128,57648,1154205,28546,21584,2,2.450793
ISIC_0001131,94458,2420580,76666,527689,3,2.460005
ISIC_0001133,67305,1710550,44530,38134,2,2.066701
ISIC_0001134,40950,573692,17461,22908,2,2.487472
ISIC_0001140,65856,1093928,13224,40662,2,2.515504
ISIC_0001142,102777,3301862,141995,117554,2,2.150640
ISIC_0001148,111432,2019560,110961,107712,2,2.153058
ISIC_0001152,76506,1514828,125392,73339,3,2.474191
ISIC_0001769,31905,214773,4744,5510,2,2.251260
ISIC_0001852,153,130493,3779,6230,2,2.237080
ISIC_0001871,26553,203984,3134,5098,1,2.003432
ISIC_0001960,51126,274047,13518,17171,1,1.941746
ISIC_0002093,75282,1234280,28502,36915,1,2.348553
ISIC_0002107,45624,624829,15606,12443,2,2.086385
ISIC_0002206,27348,303473,2356,2811,1,2.038655
ISIC_0002246,33636,428352,4495,5101,2,2.231383
ISIC_0002251,43638,666266,14762,19024,2,2.126246
ISIC_0002287,46881,695068,40196,43127,2,2.110750
ISIC_0002353,33366,420971,20430,11577,2,2.125709
ISIC_0002374,38064,304750,6469,10606,2,2.232288
ISIC_0002438,49374,440144,8671,19470,2,2.170917
ISIC_0002439,54195,534829,26146,12500,2,2.157762
ISIC_0002453,38340,371779,8957,10417,1,2.243223
ISIC_0002459,35766,530925,5649,6114,2,2.108801
ISIC_0002469,45504,529166,14423,10206,2,2.104609
ISIC_0002476,37971,392830,10939,9295,1,2.056365
ISIC_0002488,37560,301358,18586,8527,1,2.159875
ISIC_0002489,45057,507258,14430,13000,2,2.106346
ISIC_0002616,31707,389510,9996,11095,1,2.149373
ISIC_0002647,61569,481986,27222,18340,2,2.267967
