index,lng_bor,area,hor_overl,vrt_overl,cluster_clr_score,lesion_label
ISIC_0014419,100188,3640132,26882,197294,1.964493,False
ISIC_0014457,124068,5891372,138859,167049,2.200898,False
ISIC_0014470,54660,696188,25434,16089,2.029042,False
ISIC_0014474,69318,1929712,43126,29038,1.903942,False
ISIC_0014500,91179,3371960,53874,59457,1.867737,False
ISIC_0014503,59667,1452897,11707,23264,2.125182,False
ISIC_0014567,65808,503928,8111,13254,2.126777,False
ISIC_0014568,34077,477441,4334,12779,2.064668,False
ISIC_0014572,27315,272899,8880,7748,2.196560,False
ISIC_0014574,41532,173155,10529,9937,2.165220,False
ISIC_0014575,47364,233218,18026,9603,2.129011,False
ISIC_0014586,101586,3990326,95972,64166,2.318206,False
ISIC_0014587,51153,201892,14443,7270,2.221261,False
ISIC_0014588,15243,42229,744,1207,2.304242,False
ISIC_0014590,17121,100456,2549,2254,2.276078,False
ISIC_0014597,13413,59486,1192,1220,1.953171,False
ISIC_0014600,50295,226428,12383,8335,2.105729,False
ISIC_0014601,43479,726558,30331,12559,2.128500,False
ISIC_0014608,49440,800369,46399,51510,2.200022,False
ISIC_0014790,190986,22319470,2167350,2104363,2.157479,True
ISIC_0014795,133185,5506750,303983,461843,2.333700,True
ISIC_0014800,294174,8016537,555554,382892,2.314536,True
ISIC_0014809,156996,4790726,124896,159919,2.324256,True
ISIC_0014826,189798,13786148,170264,219334,2.315325,True
ISIC_0014832,221067,7857928,795088,360570,2.331955,True
ISIC_0014857,242277,16802519,605834,658775,2.251485,True
ISIC_0014862,847875,11987188,626194,1539986,2.293990,True
ISIC_0014872,192804,17792717,556331,305454,2.219039,True
ISIC_0014883,406761,10013170,508097,820511,2.312438,True
ISIC_0014891,287925,15721069,456882,433126,2.301737,True
ISIC_0014897,159582,6472536,93339,147855,2.315347,True
ISIC_0014912,303,11568585,1760618,1398614,2.330325,True
ISIC_0014919,124242,5241528,99826,67436,2.267364,True
ISIC_0014920,135567,3891086,63442,58467,2.338512,True
ISIC_0014922,225975,11441673,229141,276657,2.329462,True
ISIC_0014928,250392,2795245,59479,67826,2.334850,True
ISIC_0014931,223872,7888475,425831,466441,2.328012,True
ISIC_0014932,303,16778348,855633,778002,2.329837,True
ISIC_0014946,205959,9216600,185731,302265,2.321726,True
ISIC_0014951,226593,16339805,663928,920949,2.342866,True
ISIC_0014963,660120,21845926,528352,765273,2.328378,True
ISIC_0014975,188130,11106670,214294,300890,2.299951,True
ISIC_0014979,170802,12503681,595523,573112,2.216545,True
ISIC_0014982,164241,11066073,312107,375112,2.324367,True
ISIC_0014983,208284,10483781,375454,351304,2.316105,True
ISIC_0014985,292866,16898702,513513,1419533,2.284421,True
ISIC_0014987,138819,5115313,371684,233483,2.313205,True
ISIC_0015004,190392,16968873,530314,692799,2.215904,True
ISIC_0015005,140634,5128155,444704,340422,2.318905,True
